"","CLIENT_ID","CASE_ID","ACHA","AIU_CHILD","AIU_PARENT","CYF_KPL","CYF_PL_O","DA","DPW_FS","DPW_GA","DPW_SSI","DPW_TANF","EI","FSC","HACP","HH","IL_CHILD","JPO","JPO_CHILD","JPO_KPL","JPO_PL_O","MH","ID"
"1",688929,32613,-1,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"2",688932,32613,-1,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,NA
"3",688934,32613,-1,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA
"4",688935,32613,-1,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5",688936,32613,-1,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"6",688937,32613,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",689189,31659,NA,NA,0,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"8",689346,48753,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,-1,-1,0,NA,NA,NA,NA,NA,0,NA
"9",689347,48753,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"10",689348,48753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",689349,48753,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"12",689350,48753,NA,NA,NA,NA,NA,NA,-1,NA,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",689351,48753,NA,NA,NA,NA,NA,NA,-1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",689431,29594,0,NA,NA,NA,NA,0,0,NA,0,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,0,NA
"15",689433,29594,0,NA,NA,NA,-1,NA,0,NA,0,-1,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA
"16",689473,62084,NA,NA,NA,NA,-1,NA,0,NA,NA,0,NA,NA,NA,0,NA,-1,NA,NA,NA,-1,NA
"17",689706,48241,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,0,0,0,NA,0,NA
"18",689708,48241,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",689709,48241,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",689738,39146,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"21",689782,31041,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA
"22",689955,61719,NA,NA,NA,NA,NA,NA,0,-1,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,0,NA
"23",690234,30701,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA
"24",690235,30701,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
"25",690238,32048,NA,NA,NA,NA,NA,NA,-1,NA,-1,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA
"26",690262,32209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",690263,32209,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",690264,32209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"29",690265,32209,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA
"30",690266,32209,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA
"31",690385,61626,NA,NA,NA,NA,-1,-1,0,NA,-1,NA,NA,NA,NA,NA,-1,-1,NA,NA,NA,-1,NA
"32",690485,48555,NA,NA,0,NA,-1,0,0,NA,NA,0,NA,NA,NA,NA,NA,-1,NA,NA,NA,0,NA
"33",690486,48555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",690488,48555,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",690571,48565,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,-1,NA
"36",690573,48565,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"37",690575,48565,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"38",690599,32731,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",690682,61206,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,NA,NA,NA
"40",690788,62305,NA,NA,NA,NA,NA,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",690898,60951,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
