"CASE_ID","nClose","Duration"
28892,3,0
28994,2,92
29003,3,184
29057,3,92
29128,2,397
29164,3,62
29206,6,184
29350,3,62
29521,2,245
29540,4,306
29578,1,123
29589,2,92
29594,2,62
29646,2,337
29666,2,30
29668,3,123
29671,2,62
29679,2,122
29710,2,31
29734,3,62
29901,3,123
29913,1,92
29935,2,31
29968,3,397
29980,3,213
30096,3,245
30100,3,62
30102,4,153
30151,4,306
30163,3,337
30171,5,153
30249,2,337
30290,2,337
30342,2,123
30346,3,245
30368,3,276
30383,3,92
30442,2,215
30444,3,276
30452,3,366
30495,2,215
30516,3,276
30572,3,276
30643,2,182
30645,3,92
30648,2,153
30670,2,244
30701,2,30
30737,4,215
30743,3,123
30747,6,92
30772,3,31
30779,3,92
30788,3,62
30869,5,62
30901,2,30
30902,2,245
30905,2,0
30943,6,0
30990,6,245
31041,2,92
31052,2,31
31053,6,397
31119,3,92
31188,3,397
31197,2,245
31209,4,276
31219,2,62
31258,4,276
31285,3,243
31314,3,153
31316,2,91
31339,3,31
31341,4,153
31368,4,245
31520,2,397
31523,3,153
31524,3,62
31540,4,30
31600,5,276
31610,6,123
31652,3,276
31659,2,31
31661,2,153
31683,3,153
31707,3,60
31712,5,92
31718,5,153
31734,5,153
31772,2,366
31779,2,397
31782,3,62
31795,2,31
31796,5,62
31812,3,276
31826,4,397
31835,3,245
31837,4,61
31853,2,306
31856,2,306
31869,3,183
31884,3,215
31942,3,122
31962,4,245
31978,2,306
31991,4,184
31999,2,274
32007,4,184
32048,2,92
32055,2,92
32078,3,0
32086,4,215
32091,3,123
32095,3,153
32124,2,306
32169,3,92
32209,2,92
32274,2,92
32301,2,245
32324,5,62
32334,5,245
32397,2,366
32418,3,90
32428,2,123
32478,2,276
32542,5,214
32604,2,215
32613,3,337
32615,4,60
32659,4,276
32668,5,91
32680,4,92
32716,3,122
32731,4,122
32754,3,92
32790,3,62
32801,3,62
32809,2,214
32839,3,61
32902,6,92
32945,4,123
32961,2,0
32980,2,62
32993,2,397
33098,2,276
33101,2,276
33102,3,123
33135,6,366
33138,2,184
33139,4,62
33170,3,61
33197,2,304
33255,2,153
33268,2,245
33274,2,276
33289,3,0
33301,3,123
33339,3,123
33342,2,62
33349,4,276
33366,2,306
33405,2,123
33410,5,123
33413,3,122
33453,3,276
33472,3,92
33514,3,123
33598,4,90
33624,2,306
33648,4,92
33651,4,30
33671,5,215
33673,5,215
33692,3,306
33693,2,121
33700,2,91
33724,5,122
33771,2,30
33809,2,122
33820,4,151
33824,3,245
33841,2,122
33876,2,274
33902,2,31
33904,2,92
