"CASE_ID","Placement","Housing","BasicNeeds","FSC","PlacementAsY","CloseTimes","Duration"
28892,TRUE,FALSE,FALSE,FALSE,FALSE,3,0
28994,FALSE,TRUE,TRUE,TRUE,TRUE,2,92
29003,TRUE,TRUE,TRUE,TRUE,FALSE,3,184
29057,TRUE,TRUE,TRUE,FALSE,FALSE,3,92
29128,TRUE,FALSE,TRUE,FALSE,FALSE,2,397
29164,FALSE,FALSE,TRUE,FALSE,FALSE,3,62
29206,FALSE,TRUE,TRUE,TRUE,FALSE,6,184
29350,TRUE,TRUE,TRUE,FALSE,FALSE,3,62
29521,TRUE,TRUE,FALSE,FALSE,FALSE,2,245
29540,TRUE,TRUE,TRUE,TRUE,TRUE,4,306
29578,FALSE,TRUE,TRUE,FALSE,FALSE,1,123
29589,TRUE,FALSE,TRUE,FALSE,FALSE,2,92
29594,TRUE,FALSE,TRUE,TRUE,FALSE,2,62
29646,TRUE,TRUE,TRUE,FALSE,FALSE,2,337
29666,TRUE,FALSE,TRUE,TRUE,FALSE,2,30
29668,TRUE,TRUE,TRUE,TRUE,FALSE,3,123
29671,FALSE,FALSE,TRUE,FALSE,FALSE,2,62
29679,FALSE,FALSE,TRUE,FALSE,FALSE,2,122
29710,TRUE,TRUE,TRUE,TRUE,FALSE,2,31
29734,TRUE,TRUE,TRUE,TRUE,TRUE,3,62
29901,FALSE,TRUE,FALSE,TRUE,TRUE,3,123
29913,FALSE,TRUE,TRUE,FALSE,FALSE,1,92
29935,FALSE,TRUE,TRUE,FALSE,FALSE,2,31
29968,TRUE,TRUE,TRUE,TRUE,TRUE,3,397
29980,FALSE,TRUE,TRUE,FALSE,FALSE,3,213
30096,FALSE,TRUE,FALSE,TRUE,FALSE,3,245
30100,TRUE,TRUE,TRUE,TRUE,TRUE,3,62
30102,FALSE,TRUE,TRUE,FALSE,TRUE,4,153
30151,TRUE,TRUE,TRUE,FALSE,TRUE,4,306
30163,TRUE,TRUE,TRUE,TRUE,FALSE,3,337
30171,FALSE,TRUE,TRUE,FALSE,FALSE,5,153
30249,TRUE,FALSE,TRUE,TRUE,TRUE,2,337
30290,TRUE,FALSE,FALSE,FALSE,FALSE,2,337
30342,TRUE,TRUE,TRUE,FALSE,FALSE,2,123
30346,FALSE,FALSE,TRUE,FALSE,TRUE,3,245
30368,TRUE,TRUE,TRUE,TRUE,FALSE,3,276
30383,FALSE,FALSE,TRUE,FALSE,FALSE,3,92
30442,TRUE,TRUE,FALSE,TRUE,TRUE,2,215
30444,TRUE,TRUE,TRUE,FALSE,TRUE,3,276
30452,TRUE,TRUE,TRUE,TRUE,TRUE,3,366
30495,TRUE,TRUE,TRUE,TRUE,TRUE,2,215
30516,FALSE,TRUE,TRUE,TRUE,TRUE,3,276
30572,TRUE,TRUE,TRUE,FALSE,FALSE,3,276
30643,TRUE,TRUE,TRUE,FALSE,FALSE,2,182
30645,TRUE,TRUE,TRUE,TRUE,TRUE,3,92
30648,TRUE,TRUE,TRUE,TRUE,TRUE,2,153
30670,FALSE,TRUE,TRUE,FALSE,TRUE,2,244
30701,FALSE,TRUE,TRUE,TRUE,FALSE,2,30
30737,TRUE,TRUE,TRUE,FALSE,FALSE,4,215
30743,FALSE,TRUE,TRUE,TRUE,FALSE,3,123
30747,FALSE,TRUE,TRUE,TRUE,FALSE,6,92
30772,FALSE,FALSE,TRUE,FALSE,FALSE,3,31
30779,TRUE,TRUE,TRUE,TRUE,TRUE,3,92
30788,FALSE,FALSE,TRUE,TRUE,TRUE,3,62
30869,TRUE,FALSE,TRUE,FALSE,FALSE,5,62
