"CASE_ID","TypeCounts"
28892,0
28994,4
29003,4
29057,3
29128,2
29164,4
29206,3
29350,3
29521,1
29540,5
29578,4
29589,3
29594,4
29646,3
29666,5
29668,6
29671,3
29679,2
29710,7
29734,6
29901,2
29913,4
29935,2
29968,7
29980,2
30096,2
30100,6
30102,4
30151,4
30163,5
30171,4
30249,3
30290,0
30342,5
30346,1
30368,4
30383,2
30442,2
30444,5
30452,6
30495,6
30516,4
30572,3
30643,3
30645,4
30648,5
30670,2
30701,6
30737,5
30743,5
30747,6
30772,2
30779,6
30788,2
30869,2
30901,4
30902,3
30905,2
30943,5
30990,4
31041,7
31052,0
31053,2
31119,6
31188,2
31197,4
31209,4
31219,3
31258,4
31285,3
31314,4
31316,3
31339,2
31341,4
31368,7
31520,4
31523,5
31524,4
31540,6
31600,4
31610,6
31652,3
31659,3
31661,3
31683,5
31707,3
31712,4
31718,5
31734,4
31772,5
31779,4
31782,3
31795,0
31796,7
31812,3
31826,5
31835,6
31837,5
31853,3
31856,3
31869,1
31884,3
31942,3
31962,3
31978,2
31991,5
31999,6
32007,8
32048,3
32055,3
32078,2
32086,5
32091,4
32095,6
32124,3
32169,3
32209,0
32274,4
32301,1
32324,4
32334,5
32397,4
32418,5
32428,4
32478,3
32542,5
32604,3
32613,3
32615,2
32659,4
32668,0
32680,3
32716,4
32731,3
32754,2
32790,3
32801,1
32809,6
32839,2
32902,5
32945,1
32961,3
32980,1
32993,0
33098,3
33101,3
33102,2
33135,2
33138,5
33139,4
33170,3
33197,0
33255,2
33268,6
33274,2
33289,3
33301,4
33339,3
33342,8
33349,2
33366,4
33405,5
33410,1
33413,6
33453,4
33472,3
33514,3
33598,4
33624,3
33648,6
33651,1
33671,0
33673,5
33692,4
33693,0
33700,5
33724,0
33771,2
33809,1
33820,4
33824,5
33841,3
33876,2
33902,3
33904,3
33941,4
33950,3
33958,1
34021,1
34082,4
34126,6
34145,5
34154,4
34155,4
34193,5
34279,6
34312,1
34319,2
34341,5
34622,3
34771,4
34779,3
34815,4
34842,3
34851,6
34866,6
34868,2
34871,1
34889,1
34896,4
34902,3
34933,4
34938,0
35045,2
35070,4
35095,4
35137,1
35211,4
35279,5
35292,4
35343,6
35460,3
35475,6
35485,3
35486,3
35495,5
36008,3
36714,1
37967,6
38507,2
39033,1
39138,2
39146,3
39179,2
39962,4
40541,0
40747,4
41622,5
41785,2
42009,5
42049,4
42175,4
43069,6
43283,0
47057,2
47089,3
47106,1
47149,1
47157,2
47220,2
47253,3
47271,0
47289,3
47530,4
47536,1
47572,4
47573,2
47590,4
47592,4
47653,2
47655,2
47678,4
47740,1
47767,7
47775,2
47804,3
47829,2
48227,6
48241,5
48256,0
48289,4
48296,4
48337,1
48361,3
48366,1
48398,2
48433,6
48475,3
48488,4
48526,4
48532,2
48539,1
48555,2
48565,2
48613,4
48665,2
48717,2
48721,4
48753,7
48756,5
48776,1
48782,2
48805,5
48810,0
48817,3
48820,2
48828,4
48851,2
48879,1
48947,5
49016,3
49055,1
49081,2
49086,2
49188,3
49410,5
49447,4
49456,3
49551,3
49562,1
49568,5
49584,5
49634,2
49662,3
49678,6
49680,3
49689,2
49740,3
49870,2
49946,3
50096,3
50199,4
50263,3
50545,2
50644,5
50647,3
50662,1
50805,5
50813,3
50815,5
50867,3
50874,3
50942,0
50985,4
51053,5
51085,4
51098,5
51129,4
51132,5
51178,2
51184,4
51196,5
51306,3
51334,5
51337,1
51343,5
51388,0
51404,1
51416,3
51473,5
51485,1
51645,4
51650,2
51689,2
51692,0
51693,0
51696,0
51908,1
51910,6
51922,2
51950,6
52005,1
52058,4
52085,4
52145,5
52184,4
52204,4
52223,3
52239,3
52276,3
52283,0
52302,1
52338,2
52343,4
52359,5
52372,4
52375,5
52396,2
52405,1
52485,1
52546,2
52552,2
52761,4
52926,3
52937,5
52947,1
52964,3
52971,2
52976,3
53000,3
53005,3
53054,0
53115,3
53194,3
53200,3
53205,6
53215,1
53264,3
53266,3
53282,5
53305,3
53410,0
53426,2
53432,5
53446,3
53534,2
53561,4
53573,2
53575,3
53603,5
53659,3
53673,3
53679,3
53688,4
53742,0
53793,5
53838,2
53929,2
53948,2
54075,6
54083,3
54120,3
54125,2
54158,6
54179,3
54207,1
54231,3
54237,2
54256,6
54269,6
54285,4
54390,6
54394,3
54427,4
54505,3
54538,2
54586,2
54600,1
54642,2
54680,3
54686,1
54748,1
54758,3
54781,2
54788,3
54814,4
54856,6
54859,2
54874,5
54935,2
54949,3
54950,3
54954,1
54968,2
55040,5
55059,2
55101,3
55112,8
55133,5
55136,5
55175,4
55198,4
55219,3
55236,3
55245,0
55273,0
55335,5
55383,2
55392,2
55504,3
55525,0
55600,6
55615,3
55623,4
55700,4
55719,4
55823,0
55839,0
55841,1
55869,2
55881,3
55993,5
56007,2
56008,6
56103,3
56115,1
56122,0
56127,3
56141,2
56156,4
56183,1
56191,2
56197,3
56237,1
56265,1
56306,3
56314,2
56318,1
56319,0
56370,0
56397,5
56405,2
56490,0
56499,1
56504,2
56525,2
56531,2
56538,0
56549,2
56561,1
56588,5
56638,2
56660,4
56685,1
56693,2
56725,3
56744,1
56768,5
56799,4
56804,3
56813,4
56840,4
56847,1
56860,3
56865,1
56912,1
56925,0
57046,3
57088,0
57145,2
57158,4
57164,3
57171,3
57217,2
57274,2
57303,4
57410,1
57436,0
57444,1
57490,1
57492,3
57509,3
57525,1
57556,3
57623,1
57630,7
57663,3
57683,2
57697,3
57698,6
57728,1
57732,3
57744,1
57759,0
57816,1
57840,2
57870,4
57887,1
57972,3
58022,3
58040,6
58080,3
58092,3
58181,2
58232,6
58245,3
58280,5
58291,5
58302,0
58339,3
58347,4
58379,4
58381,1
58383,1
58406,2
58427,2
58428,1
58431,3
58447,5
58451,3
58463,3
58492,4
58552,6
58561,1
58583,3
58618,4
58638,2
58643,3
58668,4
58697,3
58702,1
58704,1
58712,1
58723,6
58734,2
58735,3
58761,0
58784,2
58787,6
58802,4
58824,4
58844,1
58857,3
58973,3
58994,5
58998,2
58999,1
59012,3
59034,1
59036,2
59054,2
59086,2
59093,4
59110,0
59156,3
59162,7
59180,1
59226,1
59233,4
59263,3
59282,0
59384,4
59398,2
59433,3
59457,4
59458,2
59465,3
59476,3
59486,4
59512,1
59576,0
59592,6
59605,2
59632,2
59661,0
59663,0
59677,0
59679,6
59693,4
59697,5
59717,2
59722,2
59765,2
59783,0
59798,2
59815,5
59841,4
59855,2
59883,3
59888,5
59899,1
59906,5
60003,0
60033,1
60035,6
60064,5
60071,1
60083,1
60090,4
60103,0
60111,2
60132,2
60133,0
60166,5
60173,0
60180,2
60205,2
60250,2
60298,6
60334,4
60372,4
60374,6
60380,1
60383,2
60400,0
60410,3
60414,2
60416,0
60441,0
60456,5
60497,4
60516,5
60533,2
60543,2
60549,3
60604,2
60612,4
60633,1
60639,7
60643,1
60671,1
60680,4
60694,0
60697,0
60699,0
60700,6
60701,2
60706,4
60707,0
60710,1
60713,0
60715,3
60718,4
60719,0
60720,1
60723,0
60729,3
60730,0
60731,4
60735,2
60736,2
60738,0
60740,1
60741,4
60743,1
60744,1
60745,1
60747,1
60750,3
60752,2
60753,1
60755,1
60756,0
60760,1
60762,0
60764,1
60766,4
60767,0
60770,0
60771,0
60772,1
60774,0
60777,1
60781,1
60782,0
60787,1
60788,1
60789,4
60793,4
60794,4
60799,1
60806,0
60807,1
60811,0
60814,0
60817,3
60818,2
60820,0
60821,2
60822,0
60823,4
60825,0
60829,2
60836,1
60838,1
60839,0
60841,1
60842,2
60843,3
60847,1
60850,1
60852,3
60853,0
60854,0
60856,0
60857,3
60859,0
60862,0
60863,4
60864,2
60869,1
60870,1
60871,2
60872,3
60873,4
60874,3
60875,0
60876,2
60877,1
60878,0
60882,1
60883,7
60884,2
60885,0
60888,0
60889,0
60890,1
60893,5
60895,2
60896,2
60897,0
60900,4
60901,1
60902,0
60903,3
60904,2
60906,1
60907,2
60908,3
60909,0
60914,1
60915,0
60916,3
60919,2
60920,4
60921,3
60923,5
60925,0
60928,3
60929,4
60930,3
60932,3
60937,4
60938,2
60943,0
60945,0
60946,0
60948,2
60949,0
60950,4
60951,0
60953,5
60961,5
60962,2
60964,3
60966,1
60967,1
60968,0
60969,3
60970,4
60971,0
60972,1
60975,2
60978,5
60979,1
60980,0
60983,0
60984,0
60986,1
60988,3
60989,2
60990,1
60991,1
60994,4
60995,2
60996,0
60998,0
61000,2
61002,1
61003,1
61005,0
61006,0
61010,0
61011,3
61014,5
61015,0
61020,0
61022,1
61023,3
61024,3
61025,5
61026,0
61029,2
61033,1
61035,0
61037,2
61039,0
61040,5
61041,3
61043,0
61044,2
61045,4
61047,0
61053,0
61054,1
61055,1
61056,3
61057,3
61058,0
61060,4
61061,2
61062,0
61063,5
61064,2
61065,1
61066,3
61067,2
61068,2
61071,0
61073,3
61074,6
61080,0
61083,5
61084,3
61085,1
61086,1
61089,0
61095,4
61096,4
61100,3
61101,1
61103,0
61104,0
61106,2
61109,0
61110,4
61111,0
61112,1
61115,0
61116,1
61117,6
61118,0
61119,0
61120,2
61121,3
61122,0
61123,0
61128,1
61129,1
61130,3
61133,0
61134,5
61135,1
61136,0
61137,1
61142,0
61144,0
61145,3
61146,0
61148,3
61151,1
61152,5
61156,3
61158,2
61159,2
61160,0
61162,2
61163,2
61164,1
61166,1
61167,0
61168,0
61170,0
61171,4
61175,0
61176,2
61179,4
61180,2
61181,0
61186,2
61190,2
61191,3
61192,3
61198,0
61200,0
61206,2
61208,1
61210,0
61212,0
61214,2
61215,2
61216,0
61217,3
61218,0
61219,1
61220,0
61224,1
61227,2
61235,0
61240,3
61242,3
61243,2
61246,3
61247,3
61249,1
61253,2
61254,3
61255,4
61256,2
61257,2
61260,1
61261,0
61262,5
61264,5
61265,2
61269,0
61271,0
61274,2
61275,2
61278,2
61279,0
61282,0
61283,0
61285,2
61286,5
61290,7
61295,0
61296,0
61297,0
61301,2
61303,3
61308,2
61309,3
61311,0
61312,0
61315,2
61320,0
61321,3
61325,1
61328,3
61330,0
61331,2
61338,2
61342,2
61343,0
61345,0
61346,2
61347,3
61348,3
61349,1
61350,2
61351,4
61352,3
61359,1
61360,0
61361,0
61362,0
61363,4
61370,4
61374,3
61375,0
61381,4
61385,1
61386,0
61388,1
61391,2
61392,1
61395,2
61396,0
61398,5
61399,2
61400,2
61401,1
61402,3
61403,0
61404,5
61405,0
61407,3
61408,2
61409,0
61410,0
61412,0
61413,0
61414,7
61415,3
61416,2
61417,1
61420,0
61421,0
61422,3
61423,2
61427,1
61428,3
61429,5
61431,2
61438,3
61439,0
61441,5
61442,0
61443,5
61444,1
61445,5
61447,3
61448,3
61450,5
61451,2
61452,5
61454,2
61455,0
61456,3
61457,3
61461,3
61465,5
61469,0
61472,0
61473,3
61474,1
61475,0
61476,0
61478,0
61479,4
61480,1
61481,2
61482,3
61483,1
61484,1
61485,4
61486,3
61487,2
61489,1
61490,3
61492,1
61493,0
61495,3
61496,0
61497,0
61499,2
61500,3
61501,0
61503,3
61506,3
61511,2
61512,2
61513,2
61515,1
61516,0
61517,1
61521,0
61522,0
61523,0
61524,0
61527,2
61528,1
61529,1
61530,2
61533,0
61534,0
61535,5
61538,0
61539,2
61540,3
61542,1
61544,2
61546,2
61547,0
61548,3
61549,3
61551,2
61554,0
61555,3
61556,4
61557,2
61560,0
61561,1
61562,0
61563,2
61565,2
61566,2
61569,6
61571,3
61572,5
61573,3
61575,1
61584,1
61587,2
61588,1
61589,3
61590,0
61594,5
61600,1
61602,1
61606,5
61608,3
61609,2
61610,0
61611,4
61612,3
61613,0
61616,2
61618,4
61622,2
61626,2
61627,4
61629,2
61631,0
61634,2
61635,4
61637,0
61638,3
61639,0
61640,3
61643,1
61649,1
61650,1
61651,1
61653,2
61654,2
61655,1
61656,5
61657,0
61658,1
61659,3
61660,0
61661,1
61662,0
61665,1
61666,0
61668,0
61669,1
61671,0
61674,4
61675,3
61676,3
61677,1
61678,4
61679,0
61680,3
61681,2
61682,0
61684,0
61685,2
61686,0
61687,5
61688,2
61689,0
61693,5
61697,1
61701,5
61702,2
61703,3
61708,2
61709,3
61710,1
61711,1
61714,1
61715,4
61716,1
61718,6
61719,5
61722,1
61723,5
61724,3
61726,0
61728,3
61730,1
61731,0
61732,2
61738,0
61739,2
61740,1
61745,2
61746,4
61747,1
61748,4
61749,2
61750,2
61752,0
61753,4
61765,3
61768,0
61778,2
61779,0
61780,0
61781,0
61782,0
61789,2
61790,2
61792,3
61794,1
61795,1
61797,1
61800,1
61813,5
61814,3
61816,6
61817,0
61818,0
61819,2
61825,0
61828,5
61830,0
61831,0
61839,1
61840,1
61842,0
61843,4
61844,2
61848,3
61849,2
61858,0
61859,0
61860,1
61865,2
61867,1
61869,2
61870,0
61871,1
61873,4
61877,0
61879,0
61881,3
61882,2
61887,2
61888,2
61889,4
61890,0
61891,2
61892,2
61893,0
61894,0
61896,3
61897,3
61900,5
61902,0
61903,0
61905,6
61906,3
61908,1
61910,0
61911,2
61912,0
61913,1
61914,3
61916,0
61919,0
61922,2
61923,4
61924,0
61925,3
61926,0
61927,1
61929,0
61930,2
61931,0
61932,2
61933,5
61934,0
61935,2
61936,2
61937,0
61943,1
61944,4
61945,0
61946,0
61950,0
61951,2
61952,3
61953,4
61954,2
61955,3
61959,0
61960,0
61963,2
61966,0
61967,1
61968,3
61969,1
61973,3
61979,0
61980,2
61981,0
61983,3
61985,4
61986,4
61987,1
61988,2
61990,0
61991,0
61992,0
61993,0
61994,6
61995,2
61996,0
61997,2
61998,0
61999,0
62007,2
62008,4
62014,1
62016,5
62030,1
62031,1
62032,2
62033,1
62034,1
62035,0
62040,0
62041,1
62042,3
62043,0
62044,3
62047,1
62048,0
62049,1
62051,1
62054,4
62058,2
62060,2
62061,1
62064,2
62065,1
62067,0
62069,0
62070,0
62071,2
62072,2
62075,3
62077,1
62078,5
62080,2
62081,1
62084,0
62085,4
62087,2
62088,1
62089,2
62090,3
62091,0
62092,3
62093,4
62094,0
62095,0
62096,1
62097,2
62098,6
62099,2
62101,2
62110,3
62112,0
62113,0
62114,3
62115,4
62117,1
62119,2
62121,0
62122,3
62123,2
62124,2
62125,1
62126,0
62127,0
62132,4
62133,2
62134,0
62135,4
62136,0
62137,2
62138,4
62144,1
62146,0
62147,1
62148,0
62149,3
62150,0
62153,3
62156,3
62158,1
62163,1
62165,0
62166,1
62168,5
62169,0
62173,1
62177,3
62178,1
62179,5
62181,0
62184,1
62186,1
62188,3
62189,6
62196,2
62197,0
62198,0
62199,3
62202,2
62204,2
62205,0
62208,0
62209,3
62211,0
62212,1
62213,2
62214,1
62219,0
62220,0
62221,0
62222,0
62228,0
62230,5
62232,0
62235,1
62237,1
62244,1
62248,0
62249,0
62250,0
62251,4
62252,0
62253,1
62254,5
62255,3
62258,2
62262,2
62263,1
62269,0
62271,3
62274,0
62275,0
62276,3
62277,4
62279,0
62280,0
62282,0
62283,2
62284,1
62285,2
62286,0
62287,0
62288,1
62289,3
62290,0
62291,5
62292,0
62293,2
62294,3
62295,1
62296,3
62299,0
62301,2
62304,4
62305,2
62306,1
62307,1
62313,3
62314,1
62320,1
62321,0
62323,1
62327,0
62331,4
62334,4
62335,0
62336,3
62337,0
62339,0
62349,3
62351,2
62355,1
62365,3
62380,2
62381,0
62390,6
62392,2
62394,1
62403,0
62409,3
62456,2
62465,1
