"CASE_ID","TypeCounts","PlacementAsY","CloseTimes","Duration"
28892,0,FALSE,3,0
28994,4,TRUE,2,92
29003,4,FALSE,3,184
29057,3,FALSE,3,92
29128,2,FALSE,2,397
29164,4,FALSE,3,62
29206,3,FALSE,6,184
29350,3,FALSE,3,62
29521,1,FALSE,2,245
29540,5,TRUE,4,306
29578,4,FALSE,1,123
29589,3,FALSE,2,92
29594,4,FALSE,2,62
29646,3,FALSE,2,337
29666,5,FALSE,2,30
29668,6,FALSE,3,123
29671,3,FALSE,2,62
29679,2,FALSE,2,122
29710,7,FALSE,2,31
29734,6,TRUE,3,62
29901,2,TRUE,3,123
29913,4,FALSE,1,92
29935,2,FALSE,2,31
29968,7,TRUE,3,397
29980,2,FALSE,3,213
30096,2,FALSE,3,245
30100,6,TRUE,3,62
30102,4,TRUE,4,153
30151,4,TRUE,4,306
30163,5,FALSE,3,337
30171,4,FALSE,5,153
30249,3,TRUE,2,337
30290,0,FALSE,2,337
30342,5,FALSE,2,123
30346,1,TRUE,3,245
30368,4,FALSE,3,276
30383,2,FALSE,3,92
30442,2,TRUE,2,215
30444,5,TRUE,3,276
30452,6,TRUE,3,366
30495,6,TRUE,2,215
30516,4,TRUE,3,276
30572,3,FALSE,3,276
30643,3,FALSE,2,182
30645,4,TRUE,3,92
30648,5,TRUE,2,153
30670,2,TRUE,2,244
30701,6,FALSE,2,30
30737,5,FALSE,4,215
30743,5,FALSE,3,123
30747,6,FALSE,6,92
30772,2,FALSE,3,31
30779,6,TRUE,3,92
30788,2,TRUE,3,62
30869,2,FALSE,5,62
30901,4,FALSE,2,30
30902,3,FALSE,2,245
30905,2,FALSE,2,0
30943,5,FALSE,6,0
30990,4,FALSE,6,245
31041,7,FALSE,2,92
31052,0,FALSE,2,31
31053,2,FALSE,6,397
31119,6,TRUE,3,92
31188,2,FALSE,3,397
31197,4,TRUE,2,245
31209,4,TRUE,4,276
31219,3,FALSE,2,62
31258,4,FALSE,4,276
31285,3,FALSE,3,243
31314,4,TRUE,3,153
31316,3,FALSE,2,91
31339,2,TRUE,3,31
31341,4,FALSE,4,153
31368,7,FALSE,4,245
31520,4,TRUE,2,397
31523,5,FALSE,3,153
31524,4,TRUE,3,62
31540,6,TRUE,4,30
31600,4,FALSE,5,276
31610,6,TRUE,6,123
31652,3,FALSE,3,276
31659,3,FALSE,2,31
31661,3,TRUE,2,153
31683,5,FALSE,3,153
31707,3,FALSE,3,60
31712,4,FALSE,5,92
31718,5,FALSE,5,153
31734,4,FALSE,5,153
31772,5,TRUE,2,366
31779,4,FALSE,2,397
31782,3,TRUE,3,62
31795,0,FALSE,2,31
31796,7,FALSE,5,62
31812,3,FALSE,3,276
31826,5,TRUE,4,397
31835,6,FALSE,3,245
31837,5,FALSE,4,61
31853,3,TRUE,2,306
31856,3,FALSE,2,306
31869,1,FALSE,3,183
31884,3,TRUE,3,215
31942,3,FALSE,3,122
31962,3,TRUE,4,245
31978,2,FALSE,2,306
31991,5,FALSE,4,184
31999,6,FALSE,2,274
32007,8,FALSE,4,184
32048,3,FALSE,2,92
32055,3,FALSE,2,92
32078,2,FALSE,3,0
32086,5,TRUE,4,215
32091,4,TRUE,3,123
32095,6,TRUE,3,153
32124,3,FALSE,2,306
32169,3,FALSE,3,92
32209,0,FALSE,2,92
32274,4,FALSE,2,92
32301,1,TRUE,2,245
32324,4,FALSE,5,62
32334,5,FALSE,5,245
32397,4,TRUE,2,366
32418,5,FALSE,3,90
32428,4,FALSE,2,123
32478,3,TRUE,2,276
32542,5,TRUE,5,214
32604,3,FALSE,2,215
32613,3,TRUE,3,337
32615,2,TRUE,4,60
32659,4,FALSE,4,276
32668,0,FALSE,5,91
32680,3,FALSE,4,92
32716,4,TRUE,3,122
