"CASE_ID","Placement","Housing","BasicNeeds","FSC","CASE_ID","TypeCounts","PlacementAsY","CloseTimes","Duration"
28892,TRUE,FALSE,FALSE,FALSE,28892,0,FALSE,3,0
28994,FALSE,TRUE,TRUE,TRUE,28994,4,TRUE,2,92
29003,TRUE,TRUE,TRUE,TRUE,29003,4,FALSE,3,184
29057,TRUE,TRUE,TRUE,FALSE,29057,3,FALSE,3,92
29128,TRUE,FALSE,TRUE,FALSE,29128,2,FALSE,2,397
29164,FALSE,FALSE,TRUE,FALSE,29164,4,FALSE,3,62
29206,FALSE,TRUE,TRUE,TRUE,29206,3,FALSE,6,184
29350,TRUE,TRUE,TRUE,FALSE,29350,3,FALSE,3,62
29521,TRUE,TRUE,FALSE,FALSE,29521,1,FALSE,2,245
29540,TRUE,TRUE,TRUE,TRUE,29540,5,TRUE,4,306
29578,FALSE,TRUE,TRUE,FALSE,29578,4,FALSE,1,123
29589,TRUE,FALSE,TRUE,FALSE,29589,3,FALSE,2,92
29594,TRUE,FALSE,TRUE,TRUE,29594,4,FALSE,2,62
29646,TRUE,TRUE,TRUE,FALSE,29646,3,FALSE,2,337
29666,TRUE,FALSE,TRUE,TRUE,29666,5,FALSE,2,30
29668,TRUE,TRUE,TRUE,TRUE,29668,6,FALSE,3,123
29671,FALSE,FALSE,TRUE,FALSE,29671,3,FALSE,2,62
29679,FALSE,FALSE,TRUE,FALSE,29679,2,FALSE,2,122
29710,TRUE,TRUE,TRUE,TRUE,29710,7,FALSE,2,31
29734,TRUE,TRUE,TRUE,TRUE,29734,6,TRUE,3,62
29901,FALSE,TRUE,FALSE,TRUE,29901,2,TRUE,3,123
29913,FALSE,TRUE,TRUE,FALSE,29913,4,FALSE,1,92
29935,FALSE,TRUE,TRUE,FALSE,29935,2,FALSE,2,31
29968,TRUE,TRUE,TRUE,TRUE,29968,7,TRUE,3,397
29980,FALSE,TRUE,TRUE,FALSE,29980,2,FALSE,3,213
30096,FALSE,TRUE,FALSE,TRUE,30096,2,FALSE,3,245
30100,TRUE,TRUE,TRUE,TRUE,30100,6,TRUE,3,62
30102,FALSE,TRUE,TRUE,FALSE,30102,4,TRUE,4,153
30151,TRUE,TRUE,TRUE,FALSE,30151,4,TRUE,4,306
30163,TRUE,TRUE,TRUE,TRUE,30163,5,FALSE,3,337
30171,FALSE,TRUE,TRUE,FALSE,30171,4,FALSE,5,153
30249,TRUE,FALSE,TRUE,TRUE,30249,3,TRUE,2,337
30290,TRUE,FALSE,FALSE,FALSE,30290,0,FALSE,2,337
30342,TRUE,TRUE,TRUE,FALSE,30342,5,FALSE,2,123
30346,FALSE,FALSE,TRUE,FALSE,30346,1,TRUE,3,245
30368,TRUE,TRUE,TRUE,TRUE,30368,4,FALSE,3,276
30383,FALSE,FALSE,TRUE,FALSE,30383,2,FALSE,3,92
30442,TRUE,TRUE,FALSE,TRUE,30442,2,TRUE,2,215
30444,TRUE,TRUE,TRUE,FALSE,30444,5,TRUE,3,276
30452,TRUE,TRUE,TRUE,TRUE,30452,6,TRUE,3,366
30495,TRUE,TRUE,TRUE,TRUE,30495,6,TRUE,2,215
30516,FALSE,TRUE,TRUE,TRUE,30516,4,TRUE,3,276
30572,TRUE,TRUE,TRUE,FALSE,30572,3,FALSE,3,276
30643,TRUE,TRUE,TRUE,FALSE,30643,3,FALSE,2,182
30645,TRUE,TRUE,TRUE,TRUE,30645,4,TRUE,3,92
30648,TRUE,TRUE,TRUE,TRUE,30648,5,TRUE,2,153
30670,FALSE,TRUE,TRUE,FALSE,30670,2,TRUE,2,244
30701,FALSE,TRUE,TRUE,TRUE,30701,6,FALSE,2,30
30737,TRUE,TRUE,TRUE,FALSE,30737,5,FALSE,4,215
30743,FALSE,TRUE,TRUE,TRUE,30743,5,FALSE,3,123
30747,FALSE,TRUE,TRUE,TRUE,30747,6,FALSE,6,92
30772,FALSE,FALSE,TRUE,FALSE,30772,2,FALSE,3,31
30779,TRUE,TRUE,TRUE,TRUE,30779,6,TRUE,3,92
30788,FALSE,FALSE,TRUE,TRUE,30788,2,TRUE,3,62
30869,TRUE,FALSE,TRUE,FALSE,30869,2,FALSE,5,62
30901,TRUE,TRUE,TRUE,FALSE,30901,4,FALSE,2,30
30902,TRUE,TRUE,TRUE,FALSE,30902,3,FALSE,2,245
30905,FALSE,FALSE,TRUE,FALSE,30905,2,FALSE,2,0
30943,TRUE,TRUE,TRUE,TRUE,30943,5,FALSE,6,0
30990,TRUE,TRUE,TRUE,TRUE,30990,4,FALSE,6,245
31041,FALSE,TRUE,TRUE,TRUE,31041,7,FALSE,2,92
31052,TRUE,FALSE,FALSE,FALSE,31052,0,FALSE,2,31
31053,TRUE,FALSE,TRUE,FALSE,31053,2,FALSE,6,397
31119,TRUE,TRUE,TRUE,TRUE,31119,6,TRUE,3,92
31188,FALSE,TRUE,TRUE,FALSE,31188,2,FALSE,3,397
31197,TRUE,TRUE,TRUE,FALSE,31197,4,TRUE,2,245
31209,FALSE,TRUE,TRUE,TRUE,31209,4,TRUE,4,276
31219,FALSE,FALSE,TRUE,TRUE,31219,3,FALSE,2,62
31258,FALSE,TRUE,TRUE,TRUE,31258,4,FALSE,4,276
31285,TRUE,FALSE,TRUE,FALSE,31285,3,FALSE,3,243
31314,TRUE,FALSE,TRUE,TRUE,31314,4,TRUE,3,153
31316,TRUE,TRUE,TRUE,FALSE,31316,3,FALSE,2,91
31339,TRUE,FALSE,TRUE,FALSE,31339,2,TRUE,3,31
